,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,t
281,-0.02492685739117864,-0.018974276058000436,0.0002799916723299869,230.483684539,-0.018912884480288536,-0.020392141908389318,0.0,1.0,,,0.0,0.0,,,1249
282,-0.024927651622763582,-0.01895535957559748,0.00027998051305906283,259.154398782,-0.018867807904376643,-0.02036205992977055,0.0,1.0,,,0.0,0.0,,,1250
283,-0.024927651622763582,-0.01895535957559748,0.0002799693631206776,259.154398782,-0.018867807904376643,-0.02036205992977055,0.0,1.0,,,0.0,0.0,,,1251
284,-0.024927651622763582,-0.01895535957559748,0.000279704525318119,259.154398782,-0.018867807904376643,-0.02036205992977055,0.0,1.0,,,0.0,0.0,,,1275
285,-0.024927651622763582,-0.01895535957559748,0.0002796936038390578,259.154398782,-0.018867807904376643,-0.02036205992977055,0.0,1.0,,,0.0,0.0,,,1276
286,-0.025051743846075735,-0.018985022587860837,0.00027943414037832686,263.651002433,-0.018877381958421684,-0.020404970210163523,0.0,1.0,,,0.0,0.0,,,1300
287,-0.025079322050631625,-0.018989436659141243,0.0002794234383942972,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1301
288,-0.025079322050631625,-0.018989436659141243,0.00027916914037794886,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1325
289,-0.025079322050631625,-0.018989436659141243,0.00027915864943815115,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1326
290,-0.025079322050631625,-0.018989436659141243,0.00027890931982480177,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1350
291,-0.025079322050631625,-0.018989436659141243,0.0002788990319535916,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1351
292,-0.025079322050631625,-0.018989436659141243,0.0002786544846807037,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1375
293,-0.025079322050631625,-0.018989436659141243,0.0002786443923427586,275.218510257,-0.018880967131125522,-0.020409600089261303,0.0,1.0,,,0.0,0.0,,,1376
294,-0.024975870401690352,-0.018868663443583362,0.000278404451528905,285.721870308,-0.01885653130554382,-0.020423299612682716,0.0,1.0,,,0.0,0.0,,,1400
295,-0.024981300580079645,-0.018872791122645307,0.0002783945475975184,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1401
296,-0.024981300580079645,-0.018872791122645307,0.00027815904681565106,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1425
297,-0.024981300580079645,-0.018872791122645307,0.0002781493245438238,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1426
298,-0.024981300580079645,-0.018872791122645307,0.00027791810615810617,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1450
299,-0.024981300580079645,-0.018872791122645307,0.00027790855915214396,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1451
300,-0.024981300580079645,-0.018872791122645307,0.00027768147371180036,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1475
301,-0.024981300580079645,-0.018872791122645307,0.00027767209590716206,287.252992417,-0.018852490555139313,-0.020423967214052305,0.0,1.0,,,0.0,0.0,,,1476
302,-0.025036156229591818,-0.018924589578037103,0.0002774582223832661,304.702786222,-0.01876072592659034,-0.020483561421154567,0.0,1.0,,,0.0,0.0,,,1499
303,-0.025036362102644233,-0.01892844789452138,0.0002774490015915687,320.846926763,-0.018760879277133116,-0.020483641868735063,0.0,1.0,,,0.0,0.0,,,1500
304,-0.025036419515757892,-0.018932311101479696,0.0002774397872307388,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1501
305,-0.025036419515757892,-0.018932311101479696,0.00027722054934065294,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1525
306,-0.025036419515757892,-0.018932311101479696,0.00027721149295283906,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1526
307,-0.025036419515757892,-0.018932311101479696,0.0002769959834432443,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1550
308,-0.025036419515757892,-0.018932311101479696,0.000276987079825721,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1551
309,-0.025036419515757892,-0.018932311101479696,0.0002767751768762757,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1575
310,-0.025036419515757892,-0.018932311101479696,0.0002767664210772189,324.872692766,-0.0187608922653565,-0.020483663765287315,0.0,1.0,,,0.0,0.0,,,1576
311,-0.025373643658444255,-0.019165878978305666,0.0002765580086967385,335.525955594,-0.018832544664011196,-0.02053057964596742,0.0,1.0,,,0.0,0.0,,,1600
312,-0.025373679657175817,-0.019169550692997694,0.00027654939599940857,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1601
313,-0.025373679657175817,-0.019169550692997694,0.0002763443636612006,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1625
314,-0.025373679657175817,-0.019169550692997694,0.0002763358895693497,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1626
315,-0.025373679657175817,-0.019169550692997694,0.0002761341318745627,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1650
316,-0.025373679657175817,-0.019169550692997694,0.0002761257920989552,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1651
317,-0.025373679657175817,-0.019169550692997694,0.00027592720846540155,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1675
318,-0.025373679657175817,-0.019169550692997694,0.0002759189989113459,343.778516379,-0.0188328315378598,-0.02053066878730085,0.0,1.0,,,0.0,0.0,,,1676
319,-0.025104641437495755,-0.019073198089392656,0.00027572349328552334,346.438811068,-0.01884563141552082,-0.02051265411246008,0.0,1.0,,,0.0,0.0,,,1700
320,-0.02515349166885965,-0.019076571973915483,0.00027571541004132685,372.330824145,-0.018844549351895026,-0.02051902117615205,0.0,1.0,,,0.0,0.0,,,1701
321,-0.02515349166885965,-0.019076571973915483,0.0002755228906315972,372.330824145,-0.018844549351895026,-0.02051902117615205,0.0,1.0,,,0.0,0.0,,,1725
322,-0.02515349166885965,-0.019076571973915483,0.0002755149299578629,372.330824145,-0.018844549351895026,-0.02051902117615205,0.0,1.0,,,0.0,0.0,,,1726
323,-0.02496290243028387,-0.01909504509037188,0.0002753331553602665,393.480063948,-0.018830265669200805,-0.02047078282879492,0.0,1.0,,,0.0,0.0,,,1749
324,-0.024973316739057803,-0.019098231469108367,0.00027532530898695195,396.064535816,-0.018833086278727585,-0.020472814743672237,0.0,1.0,,,0.0,0.0,,,1750
325,-0.024973316739057803,-0.019098231469108367,0.00027531746730664506,396.064535816,-0.018833086278727585,-0.020472814743672237,0.0,1.0,,,0.0,0.0,,,1751
326,-0.024973316739057803,-0.019098231469108367,0.00027513066078181116,396.064535816,-0.018833086278727585,-0.020472814743672237,0.0,1.0,,,0.0,0.0,,,1775
327,-0.024973316739057803,-0.019098231469108367,0.00027512293467102936,396.064535816,-0.018833086278727585,-0.020472814743672237,0.0,1.0,,,0.0,0.0,,,1776
328,-0.025077570889948452,-0.01914706303565873,0.0002749388621704116,420.399308637,-0.018787801156265993,-0.02047058328903363,0.0,1.0,,,0.0,0.0,,,1800
329,-0.025077581752670743,-0.019150182947535118,0.0002749312483498004,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1801
330,-0.025077581752670743,-0.019150182947535118,0.0002747498328235992,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1825
331,-0.025077581752670743,-0.019150182947535118,0.00027474232815035955,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1826
332,-0.025077581752670743,-0.019150182947535118,0.00027456349573563377,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1850
333,-0.025077581752670743,-0.019150182947535118,0.00027455609719607315,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1851
334,-0.025077581752670743,-0.019150182947535118,0.0002743797770440509,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1875
335,-0.025077581752670743,-0.019150182947535118,0.0002743724817466341,406.674137524,-0.01878779261371243,-0.020470583995079318,0.0,1.0,,,0.0,0.0,,,1876
336,-0.024995569982220505,-0.019103762937865684,0.000274198605861538,467.999943397,-0.018849138457749163,-0.02041794523070252,0.0,1.0,,,0.0,0.0,,,1900
337,-0.02500955907477097,-0.01910670165831915,0.00027419141103039854,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1901
338,-0.02500955907477097,-0.01910670165831915,0.0002740199141188772,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1925
339,-0.02500955907477097,-0.01910670165831915,0.00027401281708775273,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1926
340,-0.02500955907477097,-0.01910670165831915,0.0002738436364180936,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1950
341,-0.02500955907477097,-0.01910670165831915,0.0002738366346246527,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1951
342,-0.02500955907477097,-0.01910670165831915,0.00027366970989502437,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1975
343,-0.02500955907477097,-0.01910670165831915,0.0002736628008755549,495.834341139,-0.018844367649443847,-0.020418233236831194,0.0,1.0,,,0.0,0.0,,,1976
344,-0.025026997292462858,-0.019121389097887475,0.000273504896277943,523.718582592,-0.018851607649213356,-0.020436612897294634,0.0,1.0,,,0.0,0.0,,,1999
345,-0.025033555900751635,-0.019124189128419206,0.00027349807409059347,591.638477789,-0.018850123630277996,-0.02043863341272568,0.0,1.0,,,0.0,0.0,,,2000
346,-0.04767097836161616,-0.046794837008267934,0.00018453616691811768,0.103686141,0.0522978883112491,0.05483989621186591,0.0,0.0,,,0.0,0.0,,,0
347,-0.04065350630817632,-0.040207408915362355,0.0001828615653523656,0.134402658,0.021240700730145584,0.017719190359494742,0.0,0.0,,,0.0,0.0,,,1
348,-0.03898393538568173,-0.038489488731071414,0.00017919169196815247,0.200972942,0.016708700515115384,0.012699871448172634,0.0,0.0,,,0.0,0.0,,,4
349,-0.03798382252447978,-0.03734812929661087,0.00017825018762674912,0.233201497,0.013221875704480706,0.008924137185239262,0.0,0.0,,,0.0,0.0,,,5
350,-0.03713050085985233,-0.029318376944338975,0.00017527646021759286,0.371731609,0.0021078546473371844,-0.0018276978743676114,0.0,0.0,,,0.0,0.0,,,9
351,-0.0357219612922861,-0.02971714846084159,0.00017467286060320603,0.36862936,-0.00028871187625626306,-0.0044776304253301745,0.0,0.0,,,0.0,0.0,,,10
352,-0.030182813488581855,-0.02616250574544235,0.00017262047829584847,0.488158606,-0.007870048789365593,-0.008972613388355153,0.0,0.0,,,0.0,0.0,,,14
353,-0.03171109626870106,-0.02637143728016769,0.00017217833186634695,0.523468064,-0.0055964533061202025,-0.007679775837716227,0.0,0.0,,,0.0,0.0,,,15
354,-0.031245209162156003,-0.026279598194486067,0.00017061587335782109,0.719479925,-0.007469615270001261,-0.010164122685629355,0.0,0.0,,,0.0,0.0,,,19
355,-0.03134027849915969,-0.026465985398372256,0.00017026798450415692,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,20
356,-0.03134027849915969,-0.026465985398372256,0.00016872286173386209,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,25
357,-0.03134027849915969,-0.026465985398372256,0.00016844646873059066,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,26
358,-0.03134027849915969,-0.026465985398372256,0.00016368612257850834,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,50
359,-0.03134027849915969,-0.026465985398372256,0.00016353872002280287,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,51
360,-0.03134027849915969,-0.026465985398372256,0.00016064806405907494,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,75
361,-0.03134027849915969,-0.026465985398372256,0.00016054831235204613,0.787431397,-0.007572053999303599,-0.010337654111782455,0.0,0.0,,,0.0,0.0,,,76
