,Unnamed: 0,Unnamed: 0.1,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
49,49.0,0.0,0.0044629015364064505,0.004462901536015139,0.005763376618377501,1.4618124071042984,1.3391103687463328,1.2227676230877768e-09,4.791781217025919e-35,1.1900881353232066e-19,1.2227676230877768e-09,4.791781217025919e-35,1.1900881400537282e-19,0.0044629140180797704,0.004462914017486921,0.00014997841790313,0.00010932702571150559,0.0,0.0,0.00010149511508640928,8.587283082305554e-05,0.0,0.032858863296691146,0.023053507696277814,0.039035091989585755,0.039260830486380065,0.0,0.0,0.03903509199737184,0.039260830496115874,0.0,0.0,0.0,0.0,0.0,0.0
50,50.0,1.0,0.0059610419087014295,0.006195570517055047,0.005737166701728801,4.478017770708538,5.122176079964265,0.02097422742844688,0.0013439583681391998,0.00069071478561566,0.02451338989582996,0.0018698967234537297,0.00114768743950891,0.00883449786293144,0.008269936178419238,0.0020906981313600598,0.00010376626159993942,0.010502599457708409,0.01050259945703293,0.00110079557634888,9.805513545869328e-05,1.0,0.04134800975018462,0.05286229391506384,0.03464568109397874,0.03467626170757275,0.0,0.0,0.035805901455849,0.035516559002517614,0.0,0.0,0.1,0.0,0.0,0.0
51,51.0,2.0,0.00810527600006868,0.009307888391869959,0.0056793049358409,8.403244520677253,7.936447547725402,0.05666336954687834,0.004515352378265251,0.00161754322857671,0.05991874618904982,0.00571932418726798,0.00203715892852491,0.01494070895671928,0.013749964349605851,0.00012336238287384002,0.00010096498299388566,0.020450464530921142,0.019867442112757816,9.419682901351217e-05,8.412268944084645e-05,4.0,0.02994760438515271,0.04895309540692092,0.02772116679040698,0.026377645270890704,0.2,0.2,0.03071815017669612,0.029994045366517924,0.1,0.1,0.1,0.1,0.3,0.2
52,52.0,3.0,0.009025566283907719,0.009495920272408361,0.0056643652577155,10.665070917108096,22.24735715924762,0.06127955377644497,0.00529361424564711,0.00189608724340719,0.06715436075685376,0.0067926394815798485,0.00224964514047012,0.0162337758496636,0.01587971707083104,0.00012801736593242,0.00010685692541299945,0.01786348614893899,0.01697234520137171,0.00010710507631298941,8.776963222771883e-05,5.0,0.028979519883859512,0.0638633895792403,0.02776411848906487,0.02584631254141272,0.2,0.0,0.028295842437881587,0.02754376526291951,0.1,0.1,0.3,0.3,0.3,0.3
53,53.0,4.0,0.00935408151187522,0.011083325354419549,0.005616917556735699,31.60763418993447,18.611430222471245,0.07901861246892306,0.007512681089829261,0.0018889708953024199,0.08289113841052323,0.00862858212045639,0.0024695542132091497,0.017439626514623097,0.016196433093903524,0.0001415522070601,0.00010975222103295048,0.020574992889054323,0.01965190627987606,9.926485363393348e-05,9.568899404257034e-05,9.0,0.02098445452740546,0.05363261813672889,0.02331319658341666,0.022976641347742296,0.2,0.1,0.02517693142787375,0.02569382613841182,0.1,0.1,0.2,0.2,0.3,0.3
54,54.0,5.0,0.008997409525478879,0.009250946408780821,0.005607237725348999,27.109033443569206,16.386950643081217,0.08198989506266485,0.007902950177747909,0.00247752748859468,0.08504483489365165,0.008908948283109928,0.0024873665856304803,0.017507738241682468,0.01850389127153708,0.00013754919636989,0.0001050101127475345,0.01690541266880769,0.01587761041407061,0.00010223807767031767,9.181695058941193e-05,10.0,0.02058110607865794,0.06033763943146871,0.02655449831111269,0.026528661854582997,0.0,0.0,0.026021395528521674,0.026851225928412263,0.1,0.0,0.2,0.2,0.3,0.3
55,55.0,6.0,0.009956848540813369,0.01068521350138871,0.005574198246676599,20.48017772748135,27.472135882312433,0.08911490559251697,0.00896197284158819,0.00259292290986571,0.09326579603862027,0.01003311160752623,0.0028546145615339197,0.01949827692153922,0.01959747938517531,0.00013949063140895,0.00012756513897326514,0.022105162027644197,0.02298224881893397,0.00010908814147110944,0.00010131003800778067,14.0,0.01670791567107097,0.05339809525331589,0.02401516959065882,0.02371562665954579,0.0,0.0,0.023024452880684863,0.02372298013209119,0.0,0.0,0.4,0.5,0.3,0.3
56,56.0,7.0,0.010164729360922501,0.01149121122700621,0.0055670548529669,55.84685352377128,36.16247918070294,0.09143660473053103,0.00924014578868863,0.00242505740798055,0.09426183219502225,0.010196346275399028,0.00271060342894589,0.01883875963144879,0.019859102976280317,0.00014099855907253998,0.00010679208207871785,0.020254489465864983,0.02062148897703426,0.00010514997411515846,0.00012959232553837896,15.0,0.01650418008861772,0.05831303547086527,0.0228549327404602,0.02303356126887745,0.0,0.0,0.02183409597496836,0.02268622750502744,0.0,0.0,0.4,0.4,0.4,0.6
57,57.0,8.0,0.01066271180550376,0.01161376288455357,0.0055417377422977,223.91658660215325,21.30915230922401,0.09353824682177352,0.00965736232430909,0.0025816602722973196,0.09737351081698478,0.010781305750271598,0.00283773951662221,0.01903417392844798,0.020354668394007572,0.00014074123464521,0.00013712237123394722,0.020173835087294947,0.0209141969950922,0.00010683604050424828,0.00010081497021015519,19.0,0.0141921272426293,0.0546111399526884,0.022750483136457358,0.022883214726577523,0.0,0.0,0.021387449146288543,0.021778417362158443,0.0,0.0,0.4,0.6,0.4,0.6
58,58.0,9.0,0.010777629969216228,0.01078207789903648,0.005536085007543501,242.5151182411937,47.62052719632629,0.09587690172298355,0.01011992102209905,0.0026768858363595003,0.09851885452845507,0.01106796752073937,0.0028153670420810496,0.01938685859229308,0.0206270408818842,0.00014169411733742002,0.00011389402206983574,0.01949876494698998,0.020691940511574546,0.00011448094155636021,0.0001035340828820663,20.0,0.014155144711421569,0.059560430417079216,0.02263680830544874,0.022014371368960138,0.0,0.0,0.02115352586926631,0.02142059352228945,0.0,0.0,0.4,0.6,0.3,0.5
